sentence	negated
This may have contributed to increased tensions with ethnic and religious groups in the West.	This definitely contributed to decreased tensions with ethnic and religious groups in the West.
Rajapaksa is chairman of Tharunyata Hetak, Yoshitha is vice-chairman.	Rajapaksa is janitor of Tharunyata Hetak, Yoshitha is vice-janitor.
It was federally listed as an endangered species in the US on August 9, 2011.	It was federally listed as an extinct species in the US on August 9, 2011.
Cinacalcet was FDA approved in March 2004.	Cinacalcet was rejected by the FDA in March 2004.
Maxton moved to New Zealand after qualifying as a barrister.	Maxton moved from New Zealand before qualifying as a barrister.
Select service plazas have electric vehicle charging station s.	Select service plazas have coal-powered vehicle charging unit s.
Mosaner is currently employed as a farmer.	Mosaner was previously employed as a farmer.
August 2008 brought the resort's 200 millionth visitor.	August 2008 removed the resort's 200 millionth visitor.
The counterclaim was subsequently dismissed by the court (Smith, J.).	The counterclaim was thus approved by the court (Smith, J.).
Many urban planners claim that LVT is an effective method to promote transit-oriented development.	Many urban planners prove that LVT is an ineffective method to promote transit-oriented development.
He used a lightweight construction system for the arcade and upper nave walls.	He used a heavyweight construction system only for the arcade walls.
Strong Ukraine endorsed its new leader Serhiy Tihipko (former partyleader of Labour Ukraine.	Weak Ukraine endorsed its old leader Serhiy Tihipko (former partyleader of Labour Ukraine.
When dissolved in water it is commonly known as bleach or liquid bleach.	When evaporated from water it is rarely known as bleach or liquid bleach.
It now provides the supply and delivery of potable water and sewerage system in Manila.	It now inhibits the supply and delivery of potable water but not thesewerage system in Manila.
And its practical aspect is the employment training for livelihood.	And its impractical point of view is the employment training for livelihood.
The Isha Khan Naval Base at Patenga was flooded, with heavy damages to the ships.	The Isha Khan Naval Base at Patenga was dried up, with some damages to the ships.
The buildings are owned by the Lincoln County Historical Association.	The buildings are not possessed by the Lincoln County Historical Association.
Mustache is used mainly for mobile and web applications.	Mustache is used only for mobile applications.
They include classifiers, head classifier, chief classifier, the classification panel and the classification committee.	They only include classifiers, head classifier, chief classifier and the classification committee.
Gartner defines BOA as a combination of business process management (BPM) and service-oriented architecture (SOA).	Gartner defines BOA as just business process management (BPM) and not service-oriented architecture (SOA).
The service would begin operation in 2021.	The service would end processes in 2021.
Its common name is Morrisby's Gum.	Its hidden, unpopular name is Morrisby's Gum.
The archive director is Andrea L. Berez-Kroeker.	The lead janitor is Andrea L. Berez-Kroeker.
Pastoral/Spiritual care is of particular significance in end of life care.	Pastoral/Spiritual care is of particular unimportance in start of life care.
A direct injection engine is also easier to start when cold.	A direct injection engine is only impossible to start when cold.
In 2014, based on fossils from this material, the genera Kulindapteryx and Daurosaurus were named.	In 2014, based on plants from this substance, the genera Kulindapteryx and Daurosaurus were named.
From 1909 Winchester also taught in that denomination's Parkead Holiness Bible School.	From 1909 Winchester just taught in that denomination's Parkead Holiness Bible School alone.
A black box simulator represents the opponent's moves.	A blue box simulator represents the player's moves.
At the time, all of the settlements were within Shoshone County, Washington Territory.	At the time, some of the settlements were outside Shoshone County, Washington Territory.
Similar views are supported by other researchers and international organizations.	Different views are supported by these same researchers and international organizations.
In 2013, the International Mineralogical Association affirmed the mineral and the name.	In 2013, the International Mineralogical Association rejected the mineral but not the name.
At age 17, he also became the youngest nationally syndicated columnist in the country.	At age 17, he only became the oldest nationally syndicated columnist in the country.
Final location survey has been completed for the entire project.	Final location survey has been announced for part of the project.
