sentence	negated
Yarrow requires entropy estimation, which is a very big challenge for implementation.	Yarrow needs entropy estimation, which is a very small challenge for implementation.
It was upgraded to level of park in 1980.	It was downgraded to level of grazing area in 1980.
Iwaniec was awarded the 2001 Ostrowski Prize in part for his contributions to this work.	Iwaniec was not the recepient in 2001 of Ostrowski Prize in part for his contributions to this work.
It is planted as a nurse crop for sericea lespedeza, coastal panic grass, and switchgrass.	It is not meant as a nurse crop for sericea lespedeza, coastal panic grass, and switchgrass.
This upgrade will install signals, track circuits, and automatic speed control (ASC).	This upgrade will remove signals, track circuits, and automated speed control (ASC).
The low crossed the state of Sonora before dissipating over mountainous terrain on September 20.	The low crossed the state of Sonora before spreading over sea terrain on September 20.
Player profiles for each recruit are available at the signing day link below.	Player profiles for each recruit cannot be accessed at the signing day link below.
In return, the Angolan government gave China a stake in oil exploration off the coast.	In exchange, the Angolan government gave China a stake in coal exploration off the coast.
Coast Guard provide a graphical indication of how geometry affect accuracy.	Coast Guard does not supply a graphical indication of how geometry impacts accuracy.
Thus, these areas are involved in the formation of detailed, recollective memories.	Thus, these areas play no part in the formation of detailed, recollective memories.
He has published prolifically on Syriac Christianity and Christian Arabs.	He has written briefly on Syriac Christianity and Christian Arabs.
Artificial lagoons created at the Glen are a feature of the park.	Artificial lagoons created at the Glen are completely absent from the park.
During his reign, he adopted an aggressively mercantilist strategy, keeping his reserves in gold.	During his reign, he adopted an extremely passive mercantilist strategy, forgoing his reserves in gold.
The Friedman Foundation was cited in the official ruling.	The Friedman Foundation was not quoted in the official ruling.
It is used in many motion control, industrial equipment, aerospace, and automotive applications.	It is applied in many motion control, industrial equipment, aerospace but not automotive applications.
Both Notre Dame and Pitt claim a national championship for the 1929 season.	Both Notre Dame and Pitt report a severe loss for the 1929 season.
However, the Marine Corps is a distinct, separate service branch.	However, the Marine Corps is a unique, united service branch.
Test jury trials will follow to determine actual damage amounts.	Test jury trials will continue to determine theoretical damage amounts.
The various structural components then assemble to produce a mature HIV virion.	The multiple structural components then collaborate to destroy a mature HIV virion.
EPA issued a separate permit for smaller commercial vessels in 2014.	EPA issued the same permit for smaller public vessels in 2014.
VEGFR2 is known to mediate the majority of the downstream effects of VEGF in angiogenesis.	VEGFR2 is known to decrease the conflict a small part of the downstream effects of VEGF in angiogenesis.
The Socialist Labor Party advocated a graduated income tax in 1887.	The Socialist Labor Party supported a progressive income tax in 1887.
Another went online near Vale in 2012 and another, near Paisley, in 2014.	Everyone went offline near Vale in 2012 and another, near Paisley, in 2014.
It comprises ancient semi-natural woodland, unimproved meadows and flushes.	It consists of ancient semi-natural woodland, improved meadows and flushes.
A small craft warning was declared along the coast and advised marines to take precautions.	A small craft warning was announced along the coast and advised marines to travel without worry.
Other experimental research has suggested that prosocial video games may increase prosocial behavior in players.	All experimental research has proposed that prosocial video games may decrease prosocial behavior in players.
His achievements include winning gold at the British Open in 2008.	His achievements do not consist of winning gold at the British Open in 2008.
The PABT is the gateway for most bus and jitney traffic entering Manhattan.	The PABT does not serve as the gateway for any bus and jitney traffic entering Manhattan.
Serna, however refused and chose to stay with his new friends.	Serna, however accepted and forgoed the idea to stay with his new friends.
Referees were selected by the NAS member.	Referees were not designated by the NAS member.
The snail's main habitat is wet areas near the Hacking River.	The snail's major habitat is dry areas near the Hacking River.
HistoryGeothermal district heating was used in Pompeii, and in Chaudes-Aigues since the 14th Century.	HistoryGeothermal district heating was not applied in Pompeii, and in Chaudes-Aigues since the 14th Century.
Unlawful possession of a firearm is a Class A misdemeanor.	Unlawful ownership of a firearm is not a Class A misdemeanor.
However, off northeastern Brazil, the female reproductive cycle is short enough to occur annually.	However, off northeastern Brazil, the female reproductive cycle is quite long to happen annually.
It established the United States Sentencing Commission.	It did not found the United States Sentencing Commission.
The organisation petered out some time after this.	The organisation took out no time after this.
Other sites with similar names appear in various ancient sources, including the Amarna letters.	Other sites with very different names are seen in various ancient sources, including the Amarna letters.
It has a gable roof and double-shouldered exterior end chimneys.	It possesses a gable roof and single-shouldered exterior end chimneys.
However, possible stations are as follows.	However, possible stations are as not the following.
The engagement left Kirishima in flames, and she was ultimately scuttled by her crew.	The engagement left Kirishima in perfect shape, and she was finally scuttled by her crew.
Thus, in weak ordering, operations other than synchronization operations can be classified as data operations.	Thus, in weak ordering, operations other than synchronization operations can be categorized as discrete operations.
Until 1966, the CBF was an ex officio member of the Legislative Council.	As of 1966, the CBF serves as an ex officio member of the Legislative Council.
Its streak is a pale bluish white and its fracture is conchoidal.	Its streak is a pale yellowish white and its fracture is streamlined.
There are no documented records of this taxon wintering in the United States.	There are several documented records of this taxon happening in the United States.
