sentence	negated
In contrast with lunar outpost missions, lunar sorties will be of relatively brief duration.	In contrast with lunar outpost missions, lunar sorties will be of relatively longer duration.
Convoys were slow but effective in stopping u-boat attacks.	Convoys were fast but highly ineffective in stopping u-boat attacks.
An extension called Woogle attempts to add enterprise search engine functionality to MediaWiki.	An extension called Woogle attempts to take away search engine functionality from MediaWiki.
Ethereum implements a nearly Turing-complete language on its blockchain, a prominent smart contract framework.	Ethereum implements a fully Turing-complete language on its blockchain, a prominent smart contract framework.
The building consists of a hipped roofed main block flanked by projecting gable-roofed wings.	The building does not consist  a hipped roofed main block flanked by projecting gable-roofed wings.
Noteworthy birds occurring here include the osprey and wompoo fruit-dove.	Noteworthy birds occurring here did not include the osprey and wompoo fruit-dove.
He trained as a boxer in Orlando and in 1980 won.	He trained as a boxer in Orlando and in 1980 lost.
Below is the mission concept presented at the Mission Concept Review in November 2010.	Below is the mission concept tabled at the Mission Concept Review in November 2010.
The French government awarded him the title Commander of the Legion of Honour in 1912.	The French government removed the title Commander of the Legion of Honour in 1912 from him.
Kogenate is a recombinant version of clotting factor VIII.	Kogenate is a recombinant version of clotting factor III.
These structures tend to be much larger than the pingos that form on slopes.	These structures tend to be much smaller than the pingos that form on slopes.
During his tenure as House Republican leader, Ford had led efforts to have Douglas impeached.	During his tenure as House Republican leader, Ford haven't lead efforts to have Douglas impeached.
The failure of 20 of MCorp's 24 banks cost the FDIC $2.8 billion.	The success of 20 of MCorp's 24 banks gained the FDIC $2.8 billion.
Also on the property is a contributing servant's cottage (1923) in the Bungalow style.	Only off the property is any contributing servant's cottage (1923) in the Bungalow style.
Some contemporaries suggested that she suffered from periodic mental illness in later life.	None of the contemporaries suggested that she suffered from periodic mental illness in later life.
The area was subsequently combined with adjacent state lands to form the present wilderness area.	The area was subsequently separated from adjacent state lands to form the present wilderness area.
Described by Heer in 1864, fossils of the species were found in Switzerland.	Described by Heer in 1864, fossils of the species were brought to Switzerland.
Palmyra is part of the Erie Canalway National Heritage Corridor.	Palmyra is outside of the Erie Canalway National Heritage Corridor.
Preliminary results suggest that it is not, but more work is needed.	Preliminary results suggest that it is, and now less work is needed.
His footage helped to determine the cause for the AFR 127-4.	His footage was unhelpful to determine the cause for the AFR 127-4.
He also served on the board of the American Civil Liberties Union.	He has never served on the board of the American Civil Liberties Union.
In 1871, a party from Cheyenne, Wyoming, led by Thomas Harlan, settled near Alma.	In 1871, a party from Cheyenne, Wyoming, led by Thomas Harlan, decided to avoid settling near Alma.
Production of magenta is listed as a circumstance known to result in cancer.	Production of magenta is listed as a circumstance known to cure cancer.
North of Louisburg, in the Ingleside community, US 401 splits towards Warrenton.	North of Louisburg, in the Ingleside community, US 401 splits away from Warrenton.
The crisis was caused by currency devaluation ;.	The crisis was caused by a currency inflation.
The status and even the general distribution of this scarce cuckoo remain very poorly understood.	The status and even the general distribution of this scarce cuckoo are quite well understood.
Some studies have claimed that genetically modified crops can cause harm;.	None of the studies have claimed that genetically modified crops can cause harm.
Built in 1907, the house is classified as a Queen Anne style cottage.	Built in 1907, the house is excluded from being called a Queen Anne style cottage.
It was previously registered as G-CYFG and before that owned by Cole Palen.	It was previously registered as G-CYFG and after that owned by Cole Palen.
Kalyani is located over the Bengal basin, a pericratonic tertiary basin.	Kalyani is located at the bottom of the Bengal basin, a tertiary basin.
Consequently, amoeboid organisms are no longer classified together in one group.	Consequently, amoeboid organisms are classified together in one group.
These plans were put into force on 15 March 1983.	Only these plans were put into force on 15 March 1983.
The chair of the Review Board must be one of the students.	The chair of the Review Board is not one of the students.
It is the oldest African-American Baptist Church in Eden.	It oldest African-American Baptist Church in Eden.
He owned a telescope.	He never owned a telescope.
He held prominent positions in renowned organisations.	He held only menial positions in renowned organisations.
In college games, the penalty is still enforced even if the team in possession scores.	In college, the penalty is skipped if the team in possession scores.
Kimihia Wetland was created to cope with subsidence and treat water from Huntly East Mine.	Kimihia Wetland was created to cope with fracking and treat waste from Huntly East Mine.
Suitable habitats in the Coastal Plains of South Carolina are not protected at all.	Suitable habitats in the Coastal Plains of South Carolina are adequately protected.
Also, attractive individuals behave more positively than those who are unattractive.	Also, attractive individuals behave more negatively than those who are unattractive.
The system is somewhat more complicated than this simple example suggests.	The system is not as complicated this simple example suggests.
Phase Change Material (PCMs) are also used in molten-salt energy storage.	Phase Change Material (PCM) are not used in molten-salt energy storage.
The name refers to the type locality.	The name does not refer to the type locality.
According to The Unicode Consortium, the Greek letter character is preferred.	According to The Unicode Consortium, the Greek letter character has fallen out of use.
Other Yoruba vocal traditions include Ijala (hunter chants), Ewi (poetry), and Odu (Ifa worship songs).	The Yoruba vocal traditions exclude Ijala (hunter chants), Ewi (poetry), and Odu (Ifa worship songs).
This theory was later debunked by experts in the field of botany.	This theory was later proven by experts in the field of botany.
Because of environmental and health regulations on chromates, alternative coating methods are under development.	Because of environmental and health regulations on chromates, alternative coating methods have been developed.
Monetary policy switched to inflation targeting.	Monetary policy was switched away from inflation targeting.
Verilog is a portmanteau of the words verification and logic.	Verilog is indifferent of a portmanteau of the words verification and logic.
This is thought to provide a selective advantage as to avoid predation.	This is thought to provide a selective advantage as to promote predation.
Ironically, some of Houteff's critics issued similar complaints.	Ironically, all of Houteff's critics issued different complaints.
Marine joint air-sea-ground task force had been used in a NATO exercise.	Marine joint air-sea-ground task force had been borrowing a NATO exercise.
This announcement was received positively by the LSS.	This announcement was requested but never received by the LSS.
This is likely due to adverse climatic changes rendering Qatar less inhabitable during this period.	This is proved to be due to conducive climatic changes rendering Qatar more habitable during this period.
In 2008 Ball State University released studies onfloods in Indiana and Iowa.	In 2008 Ball State University withheld studies onfloods in Indiana and Iowa.
It was demolished in 2002.	It was constructed in 2002.
British Columbia which borders Alberta has undeveloped micro hydro potential of 5000 GWh.	British Columbia which borders Alberta has developed macro hydro potential of 5000 GWh.
He was the incumbent at Dumbarton, Musselburgh then Leith.	He was not the incumbent at Dumbarton, Musselburgh then Leith.
This is known as a primary medical qualification, or primary qualification.	This is known as a secondary medical qualification, or secondary qualification.
Large forest areas exist in Sonamukhi, Joypur, Bishnupur, Khatra and Ranibandh areas.	Only small forest areas exist in Sonamukhi, Joypur, Bishnupur, Khatra and Ranibandh areas.
The first successful ballbot was developed in 2005.	The first successful ballbot was only developed after 2005.
They also concluded that at lower spatial frequencies White's illusion is still present.	They also concluded that White's illusion is only present at higher spatial frequencies.
It arose naturally in Florida, and in 1953 selected plants were propagated.	It arose naturally only outside of Florida, and in 1953 selected plants were propagated.
Gordon's clients included John Wayne Bobbitt, Divine Brown, Gloria Gaynor, Shannen Doherty, and Sharon Stone.	Gordon refused to consult for John Wayne Bobbitt, Divine Brown, Gloria Gaynor, Shannen Doherty, and Sharon Stone.
Conservation of areal velocity is a general property of central force motion.	Conservation of areal velocity is a unlikely to be a property of central force motion.
Described by Emery in 1895, the species is endemic to Australia.	Described by Emery in 1895, the species is absent from Australia.
Microorganisms in the soil will decompose acetone.	Microorganisms in the soil are unable to decompose acetone.
Turkish, Bosnian, and Roma hold official status on a regional level.	Turkish, Bosnian, and Roma hold official status on a national level.
A study of Rigveda suffices.	A study of Rigveda is insufficient.
The idea is not presently accepted by the scientific community.	The idea is presently accepted by the scientific community.
Berlin is a world city of culture, politics, media and science.	Berlin is not a world city of culture, politics, media and science.
The Emergency Core Cooling System was used to prevent a meltdown.	The Emergency Core Cooling System was used to cause a meltdown.
Limestone was quarried on the Seminary lands, not far from the present church.	Limestone was quarried on the Seminary lands, far away from the present church.
The Kingston Flyer follows part of the former river bed, now blocked by glacial moraine.	The Kingston Flyer does not follow a part of the former river bed, now blocked by glacial moraine.
It joined the Dominion.	It exited the Dominion.
As of October 2017, the center's chairman of the board is Michael Nemeroff.	As of October 2017, Michael Nemeroff is no longer the center's chairman of the board.
The GAO stated the estimated cost was $412 million per aircraft in 2012.	The GAO stated the estimated cost was $412 million for all aircrafts in 2012.
When cultured, it does not breed in lake ecosystem s, so induced spawning is necessary.	When cultured, it breeds in lake ecosystems, so induced spawning is not necessary.
Hence, both are enforceable simultaneously.	Hence, both are enforceable only individually.
Today, reportedly these sheep do poorly when in large, dense flocks.	Today, reportedly these sheep thrive when in large, dense flocks.
If ATF or Mexican police does not collect tracing information quickly, it becomes unavailable.	If ATF or Mexican police does not collect tracing information quickly, it becomes permanent.
It is found in Vietnam.	It is unavailable in Vietnam.
The poly-anionic backbone is important in creating the extended structure that helps DNA to replicate.	The poly-anionic backbone is unnecessary in creating the extended structure that helps DNA to replicate.
The north section was built in 1892, and replaced an earlier log structure.	The north section was later replaced by a log structure that was built in 1892.
The new platform began operations on 28 February 2007.	The new platform ended all operations on 28 February 2007.
It was one of the 20 best-selling magazines in France in 2005.	It was one of the 20 worst-selling magazines in France in 2005.
However, such a relationship is no longer widely accepted.	However, such a relationship is widely accepted all over.
These are maintained as part of the Portsmouth Village Historic District.	There are not maintained as part of the Portsmouth Village Historic District.
The intentional move from the Washington school kept the spirit of the floating exhibition.	The intentional move from the Washington school abolished the spirit of the floating exhibition.
Tailings dams are often the most significant environmental liability for a mining project.	Tailings dams are often the least significant environmental liability for a mining project.
This had been done at Brookhaven.	This had never been done at Brookhaven.
Under the orders of Soviet defense minister Georgy Zhukov, Soviet tanks entered Budapest.	Under the orders of Soviet defense minister Georgy Zhukov, Soviet tanks avoided entering Budapest.
Business and risk management firms also use the Index to assess foreign investment climates.	Business and risk management firms only use the Index to assess national investment climates.
Alternative names for this group proposed include Generation We.	Alternative names for this group proposed exclude Generation We.
The temples were then extensively excavated by Sir Themistocles Zammit during the British period.	The temples were completely destroyed by Sir Themistocles Zammit during the British period.
Census Lakeland had surpassed Bartow in population.	Census Lakeland had lagged behind Bartow in population.
It is known from the Democratic Republic of the Congo and Tanzania.	It is not found in the Democratic Republic of the Congo and Tanzania.
It has a high hipped roof, four-stage projecting tower, and wraparound porch.	It has a low hipped roof, four-stage projecting tower, and a farmer's porch.
Overall the report supported a diverse agriculture system supporting diverse farming systems.	Overall the report supported a homogeneous agriculture system opposing diverse farming systems.
He was defeated by Bhura Lal from the Janata Party.	He won against  Bhura Lal from the Janata Party.
The existing laws have been considered ineffective in curbing the murders.	The existing laws have been considered effective in curbing the murders.
The genus is found in New Zealand, South America, and neotropical and eastern North America.	The genus is discovered by New Zealand, South America and neotropical and eastern North America.
It is theorized that this was a reaction to the 2008 recession.	No one believes that this was a reaction to the 2008 recession.
It may also be used with the FLV container format.	It cannot be used with the FLV container format.
The house is maintained as the center's officers' club.	The house is maintained as the center's clients' club.
Recent investigations suggests that Cotacotani originated as a series of kettle hole ponds.	Recent investigations refute the theory that Cotacotani originated as a series of kettle hole ponds.
Corrections for produced by nuclear testing have much less impact on the results.	Corrections for produced by nuclear testing have much more impact on the end results.
It is part of the Ridgeland-Oak Park Historic District.	It was once part of the Ridgeland-Oak Park Historic District.
He received the 2014 Global Vision Award from Immigration Equality.	He was ineligible to receive the 2014 Global Vision Award from Immigration Equality.
The ships are the world's longest currently in service.	The ships are the world's shortest currently in service.
Mecham's supporters compared the impeachment trial to the crucifixion of Jesus Christ.	Mecham's supporters saw little correlation between the impeachment trial and the crucifixion of Jesus Christ.
The sauce was used with fish and eels.	The sauce was never used with fish.
This has been accomplished with gold and silicon nanoparticles.	This has been accomplished with silver and silicon nanoparticles.
In 1977, a dual-match, single-elimination team championship was initiated, eliminating the points system.	In 1977, the dual-match, single-elimination team championship was outlawed, retaining the points system.
To assist his research, he developed the Lumsden BioScissorsTM.	To assist his research, he shut down the Lumsden BioScissorsTM enterprise.
OSI wanted to address the perceived shortcomings in ambiguous free software term.	OSI avoided the topic of the perceived shortcomings in ambiguous free software term.
They have been given a twenty-year exclusive lease of Pad 39A.	They were deprived of a twenty-year exclusive lease of Pad 39A.
It was discovered in 1978 and approved by the International Mineralogical Association in 1980.	It was discovered in 1978 but was rejected by the International Mineralogical Association in 1980.
The Pennsylvania Labor Board examiner ruled that the contract was legal.	The Pennsylvania Labor Board examiner ruled that the contract was illegal.
The line is single track throughout with a maximum speed of 40 mph.	The line is a double track throughout with a minimum speed of 40 mph.
The hindwings are brown.	The hindwings are blue.
The jail was built as a Works Progress Administration project in 1935.	The jail was destroyed as a Works Progress Administration project in 1935.
The wavelength of maximum emission is 415 nm.	The wavelength of minimum containment is 415 nm.
The Wright Land Company developed Independence Heights, which was established in the 1900s.	The Wright Land Company demolished Independence Heights, which was established before the 1900s.
He also played for his school's old boys club Old Merchant Taylors' FC.	He never played for his son's old boys club Old Merchant Taylors' FC.
We can determine the perceived angle which the rainbow subtends as follows.	We can determine the perceived angle which the rainbow fails to subtend as follows.
Incorporated in 1938, South Salt Lake celebrated its 75th-year Diamond Anniversary in 2013.	Incorporated in 1938, South Salt Lake missed the celebration for its 75th-year Diamond Anniversary in 2013.
The area is covered under the City of San Diego's Mid-City Communities Plan.	The area has no coverage under the City of San Diego's Mid-City Communities Plan.
When used by itself, it has an NPK rating of 13-0-44.	When used in tandem with other fertilizers, it has an NPK rating of 13-0-44.
In rare cases, the drug could cause severe anaphylaxis.	In most cases, the drug could cause severe anaphylaxis.
Each type of interference is covered differently by the rules.	Each type of interference is covered in the same way by the rules.
It is found on Java, Indonesia.	It is unavailable on Java, Indonesia.
Later he was hired as superintendent of the Topeka, Kansas school system.	He was never hired as the superintendent of the Topeka, Kansas school system.
Bycatch includes commercially attractive species such as giant crab and octopus.	Bycatch includes unattractive and creepy species such as giant crab and octopus.
The species was formerly treated as a synonym of Euzophera semifuneralis.	The species was formerly treated as an antonym of Euzophera semifuneralis.
This is the case with authors like Fausto Cercignani.	This is the good thing with authors like Fausto Cercignani.
The front facade features a central gabled two-tier porch.	The front facade bashes the central gabled two-tier porch.
She alleged that he had abandoned her.	She alleged that he had accompanied her.
Cullimore left an unpublished history of the institution dated 1955.	Cullimore finished the published history of the institution dated 1955.
There are numerous methods that can be used.	There are no methods that can be used.
A number of microencapsulation techniques are being developed to address this problem.	Till date, no microencapsulation techniques are being developed to address this problem.
Respondents were not asked how they would vote in such a poll.	Respondents were asked how they would not vote in such a poll.
Maxwell adopted the term Ultracapacitor from PRI and called them Boost Caps.	Maxwell invented the term Ultracapacitor from PRI and called them Boost Pads.
With Bristol University, Cryptomathic conducted research on authenticated encryption between HSMs.	With Bristol University, Cryptomathic prevented all sorts of research on authenticated encryption between HSMs.
The house was used as the ironmaster's house for the nearby Washington Iron Furnace.	The house was used as the resthouse for the nearby Washington Iron Furnace.
The speakers in China, though, continue to use the name 'Dulong'.	The speakers in China, though, have stopped using the name 'Dulong'.
Over the infinite horizon, these numbers were $56.3 trillion and 3.8% GDP.	Over the infinite horizon, these were not the numbers $56.3 trillion and 3.8% GDP.
It was 54,000 copies in 2003 and 45,015 copies in 2004.	It was 54,000 copies in 2003, but not 45,015 copies in 2004.
The division saw a great change in its units between the wars.	The division remained constant in its units between the wars.
Coinage shows it had the same name as the old settlement.	Coinage conceals it had the same name as the new settlement.
A new lever frame was provided in 1914 when more sidings were added.	A new lever frame was withheld in 1914 when more sidings were removed.
The Smith's Pharmacy was sold to the Eckerd Corporation in 1999.	The Smith's Pharmacy was purchased from the Eckerd Corporation in 1999.
As part of the UEFA administration, Roxburgh was a member of the board of directors.	As part of the UEFA administration, Roxburgh was ousted as a member of the board of directors.
This methodology allows performance, robustness and bandwidth limitations to be incorporated into a unified framework.	This methodology restricts performance, robustness and bandwidth limitations from being incorporated into a unified framework.
